,Players,Prev4's,Prev5's,Prev6's,Cur4's,Cur5's,Cur6's,Inc4's,Inc5's,Inc6's,4@1point,5@5point,6@5point,total
12,oma2015,0,0,0,542,11,2,542,11,2,542,55,10,607
16,CHOCO1,0,0,0,271,23,1,271,23,1,271,115,5,391
0,Brokenjades,294,1314,70,294,1332,73,0,18,3,0,90,15,105
6,LILth,115,70,5,117,83,5,2,13,0,2,65,0,67
2,Dazzerrie,3,67,26,3,74,31,0,7,5,0,35,25,60
22,TortureAngel,122,69,0,126,80,0,4,11,0,4,55,0,59
21,8track,2174,98,0,2176,109,0,2,11,0,2,55,0,57
1,alek,9,43,41,12,47,47,3,4,6,3,20,30,53
44,lil tanky,0,0,0,25,3,0,25,3,0,25,15,0,40
29,Sturmcrow,145,19,0,154,25,0,9,6,0,9,30,0,39
3,Lil Doom,63,42,12,71,45,15,8,3,3,8,15,15,38
13,LadyMayMay,28,44,1,33,50,1,5,6,0,5,30,0,35
25,ladyrooroo,31,36,0,34,42,0,3,6,0,3,30,0,33
46,Yummers,221,2,0,254,2,0,33,0,0,33,0,0,33
17,YumYum,218,3,1,250,3,1,32,0,0,32,0,0,32
27,foolballs,107,24,0,112,29,0,5,5,0,5,25,0,30
14,LadyLu,23,43,0,27,47,1,4,4,1,4,20,5,29
11,ZorO,717,158,2,721,163,2,4,5,0,4,25,0,29
51,DagNab It,180,0,0,209,0,0,29,0,0,29,0,0,29
10,Lil Stinker,143,0,2,165,0,3,22,0,1,22,0,5,27
23,Wolffsson,659,72,0,664,76,0,5,4,0,5,20,0,25
8,Perun,139,10,4,156,11,4,17,1,0,17,5,0,22
19,ReyNema,1012,226,0,1031,226,0,19,0,0,19,0,0,19
4,Lady Lioness,60,1,8,68,3,8,8,2,0,8,10,0,18
37,FLuffyBunny,1511,8,0,1529,8,0,18,0,0,18,0,0,18
9,Loos shadow,1498,124,3,1506,125,3,8,1,0,8,5,0,13
42,ReyN,29,5,0,39,5,0,10,0,0,10,0,0,10
32,kela,32,12,0,36,13,0,4,1,0,4,5,0,9
7,Loos,1611,118,4,1620,118,4,9,0,0,9,0,0,9
24,Laxuss Redwyne,223,50,0,230,50,0,7,0,0,7,0,0,7
20,Lord Tudor,799,151,0,800,152,0,1,1,0,1,5,0,6
26,bj01,35,31,0,35,32,0,0,1,0,0,5,0,5
49,bjoo,0,0,0,0,1,0,0,1,0,0,5,0,5
47,Drunkard,17,2,0,22,2,0,5,0,0,5,0,0,5
38,goofbals,25,7,0,25,8,0,0,1,0,0,5,0,5
54,Queen Jerri,74,0,0,78,0,0,4,0,0,4,0,0,4
57,Borutha,13,0,0,16,0,0,3,0,0,3,0,0,3
56,brokenjade02,23,0,0,26,0,0,3,0,0,3,0,0,3
41,Chaos2018,461,5,0,464,5,0,3,0,0,3,0,0,3
35,Lord Greg,294,12,0,296,12,0,2,0,0,2,0,0,2
36,CHOCO TWIST,265,9,0,267,9,0,2,0,0,2,0,0,2
15,HAWKEYE,29,40,1,31,40,1,2,0,0,2,0,0,2
59,kela2,11,0,0,13,0,0,2,0,0,2,0,0,2
52,LagerTha,119,0,0,120,0,0,1,0,0,1,0,0,1
39,ygritte,12,8,0,13,8,0,1,0,0,1,0,0,1
30,LeGOLaS,12,15,0,13,15,0,1,0,0,1,0,0,1
43,sonar,23,5,0,24,5,0,1,0,0,1,0,0,1
34,Pennybags 7,10,13,0,11,13,0,1,0,0,1,0,0,1
31,RamBO,16,14,0,17,14,0,1,0,0,1,0,0,1
71,ltlquenjerri,0,0,0,0,0,0,0,0,0,0,0,0,0
66,jujuFarm,1,0,0,1,0,0,0,0,0,0,0,0,0
67,kela3,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Aureserve,0,0,0,0,0,0,0,0,0,0,0,0,0
69,RaFiki,0,0,0,0,0,0,0,0,0,0,0,0,0
70,kela6,0,0,0,0,0,0,0,0,0,0,0,0,0
45,APOLO1,23,3,0,23,3,0,0,0,0,0,0,0,0
72,goofball,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Orkam,5,0,0,5,0,0,0,0,0,0,0,0,0
73,kela8,0,0,0,0,0,0,0,0,0,0,0,0,0
74,Pori Junior,0,0,0,0,0,0,0,0,0,0,0,0,0
75,Orkwam,0,0,0,0,0,0,0,0,0,0,0,0,0
76,goofballs,0,0,0,0,0,0,0,0,0,0,0,0,0
77,Rum runner,0,0,0,0,0,0,0,0,0,0,0,0,0
65,gibbs,2,0,0,2,0,0,0,0,0,0,0,0,0
62,Lil Lioness,11,0,0,11,0,0,0,0,0,0,0,0,0
63,Wolvesbane,5,0,0,5,0,0,0,0,0,0,0,0,0
61,RaGFarm,13,0,0,13,0,0,0,0,0,0,0,0,0
60,Flowki,13,0,0,13,0,0,0,0,0,0,0,0,0
5,RaGnar,1,3,6,1,3,6,0,0,0,0,0,0,0
58,RaggyWood,14,0,0,14,0,0,0,0,0,0,0,0,0
18,malphite,6,0,1,6,0,1,0,0,0,0,0,0,0
28,bj03,223,26,0,223,26,0,0,0,0,0,0,0,0
55,Wolffssonson,47,0,0,47,0,0,0,0,0,0,0,0,0
53,Frickey,115,0,0,115,0,0,0,0,0,0,0,0,0
33,bj20,13,13,0,13,13,0,0,0,0,0,0,0,0
50,shiny,364,0,0,364,0,0,0,0,0,0,0,0,0
48,ragnaR,13,1,0,13,1,0,0,0,0,0,0,0,0
40,Little Tudor,569,5,0,569,5,0,0,0,0,0,0,0,0
78,Lord Pori,0,0,0,0,0,0,0,0,0,0,0,0,0
