,Players,Prev4's,Prev5's,Prev6's,Cur4's,Cur5's,Cur6's,Inc4's,Inc5's,Inc6's,4@1point,5@5point,6@5point,total
1,Brokenjades,297,1593,112,297,1643,115,0,50,3,0,250,15,265
0,alek,38,138,110,42,146,117,4,8,7,4,40,35,79
2,Lady Lioness,108,50,25,115,53,26,7,3,1,7,15,5,27
16,HAWKEYE,0,0,0,1,4,1,1,4,1,1,20,5,26
25,Sturmcrow,245,63,0,255,66,0,10,3,0,10,15,0,25
32,lil tanky,0,5,0,9,8,0,9,3,0,9,15,0,24
23,LadyRooRoo,121,81,0,129,84,0,8,3,0,8,15,0,23
18,ReyNema,1198,247,0,1206,250,0,8,3,0,8,15,0,23
4,tank008,131,100,11,134,104,11,3,4,0,3,20,0,23
6,Loos,1718,130,7,1734,130,8,16,0,1,16,0,5,21
9,ZorO,790,199,3,800,201,3,10,2,0,10,10,0,20
47,Lil Lioness,9,0,0,23,1,0,14,1,0,14,5,0,19
33,not tanky,0,5,0,8,7,0,8,2,0,8,10,0,18
12,LadyMayMay,125,91,1,133,93,1,8,2,0,8,10,0,18
55,bj02,62,0,0,79,0,0,17,0,0,17,0,0,17
13,LadyLu,143,88,1,152,89,1,9,1,0,9,5,0,14
52,shiny,587,0,0,601,0,0,14,0,0,14,0,0,14
24,Wolffsson,763,77,0,775,77,0,12,0,0,12,0,0,12
14,kela,62,28,1,67,29,1,5,1,0,5,5,0,10
28,bj20,13,16,0,17,17,0,4,1,0,4,5,0,9
17,DagNab It,2,3,0,6,3,1,4,0,1,4,0,5,9
5,Loos shadow,1626,127,9,1635,127,9,9,0,0,9,0,0,9
43,Yummers,4,2,0,7,3,0,3,1,0,3,5,0,8
8,malphite,38,10,4,40,11,4,2,1,0,2,5,0,7
26,Laxuss Redwyne,274,55,0,280,55,0,6,0,0,6,0,0,6
31,ReyN,155,9,0,161,9,0,6,0,0,6,0,0,6
10,Oma2015,589,12,2,595,12,2,6,0,0,6,0,0,6
35,Rum runner,16,6,0,22,6,0,6,0,0,6,0,0,6
49,Pennybags 7,0,0,0,0,1,0,0,1,0,0,5,0,5
37,Chaos2018,499,5,0,504,5,0,5,0,0,5,0,0,5
41,bj03,0,3,0,0,4,0,0,1,0,0,5,0,5
59,kela2,43,0,0,47,0,0,4,0,0,4,0,0,4
29,Lord Greg,348,12,0,352,12,0,4,0,0,4,0,0,4
15,CHOCO1,287,23,1,291,23,1,4,0,0,4,0,0,4
30,CHOCO TWIST,288,9,0,291,9,0,3,0,0,3,0,0,3
63,YumYum,5,0,0,8,0,0,3,0,0,3,0,0,3
38,gibbs,30,5,0,32,5,0,2,0,0,2,0,0,2
48,Lil Stinker,4,1,0,5,1,0,1,0,0,1,0,0,1
36,Little Tudor,569,5,0,569,5,0,0,0,0,0,0,0,0
58,Wolffssonson,47,0,0,47,0,0,0,0,0,0,0,0,0
60,Flowki,20,0,0,20,0,0,0,0,0,0,0,0,0
61,RaggyWood,14,0,0,14,0,0,0,0,0,0,0,0,0
62,RaGFarm,13,0,0,13,0,0,0,0,0,0,0,0,0
3,RaGnar,1,5,12,1,5,12,0,0,0,0,0,0,0
64,Wolvesbane,6,0,0,6,0,0,0,0,0,0,0,0,0
65,Aureserve,0,0,0,0,0,0,0,0,0,0,0,0,0
66,kela3,0,0,0,0,0,0,0,0,0,0,0,0,0
67,RaFiki,0,0,0,0,0,0,0,0,0,0,0,0,0
68,bjs,0,0,0,0,0,0,0,0,0,0,0,0,0
69,JuGGernaut 2,0,0,0,0,0,0,0,0,0,0,0,0,0
70,JuGGernaut,0,0,0,0,0,0,0,0,0,0,0,0,0
71,goofballs,0,0,0,0,0,0,0,0,0,0,0,0,0
72,jerris Il Q,0,0,0,0,0,0,0,0,0,0,0,0,0
73,KLs police,0,0,0,0,0,0,0,0,0,0,0,0,0
74,brokenjade04,0,0,0,0,0,0,0,0,0,0,0,0,0
75,LagerTha,0,0,0,0,0,0,0,0,0,0,0,0,0
7,LILth,192,182,6,192,182,6,0,0,0,0,0,0,0
57,Borutha,52,0,0,52,0,0,0,0,0,0,0,0,0
34,sonar,26,6,0,26,6,0,0,0,0,0,0,0,0
46,ygritte,0,2,0,0,2,0,0,0,0,0,0,0,0
39,APOLO1,27,5,0,27,5,0,0,0,0,0,0,0,0
40,ragnaR,13,4,0,13,4,0,0,0,0,0,0,0,0
27,bj01,36,44,0,36,44,0,0,0,0,0,0,0,0
42,Lil Doom,0,4,0,0,4,0,0,0,0,0,0,0,0
22,FLuffyBunny,1549,150,0,1549,150,0,0,0,0,0,0,0,0
44,Drunkard,65,2,0,65,2,0,0,0,0,0,0,0,0
45,LeGOLaS,0,2,0,0,2,0,0,0,0,0,0,0,0
21,Lord Tudor,800,152,0,800,152,0,0,0,0,0,0,0,0
56,jujuFarm,68,0,0,68,0,0,0,0,0,0,0,0,0
20,TortureAngel,230,156,0,230,156,0,0,0,0,0,0,0,0
50,RamBO,0,1,0,0,1,0,0,0,0,0,0,0,0
51,bj00,0,1,0,0,1,0,0,0,0,0,0,0,0
19,8track,2246,198,0,2246,198,0,0,0,0,0,0,0,0
53,Frickey,123,0,0,123,0,0,0,0,0,0,0,0,0
54,Queen Jerri,94,0,0,94,0,0,0,0,0,0,0,0,0
11,Orkam,24,6,2,24,6,2,0,0,0,0,0,0,0
76,goofball,0,0,0,0,0,0,0,0,0,0,0,0,0
