,Players,Prev4's,Prev5's,Prev6's,Cur4's,Cur5's,Cur6's,Inc4's,Inc5's,Inc6's,4@1point,5@5point,6@5point,total
0,alek,4,16,14,10,58,39,6,42,25,6,210,125,341
1,Brokenjades,0,103,13,0,135,26,0,32,13,0,160,65,225
7,Sturmcrow,354,76,1,427,89,3,73,13,2,73,65,10,148
11,Nyctimus,68,7,0,133,16,2,65,9,2,65,45,10,120
10,Lykanos,68,7,0,133,16,2,65,9,2,65,45,10,120
24,FLuffyBunny,0,60,0,0,80,0,0,20,0,0,100,0,100
22,ReyNema,1252,266,0,1287,276,0,35,10,0,35,50,0,85
13,LadyMayMay,165,112,1,200,120,1,35,8,0,35,40,0,75
44,shiny,28,0,0,98,0,0,70,0,0,70,0,0,70
31,LadyLu,27,7,0,76,11,0,49,4,0,49,20,0,69
5,ZorO,834,223,4,886,226,4,52,3,0,52,15,0,67
15,LadyRooRoo,25,9,0,66,13,1,41,4,1,41,20,5,66
27,bj03,2,16,0,2,28,0,0,12,0,0,60,0,60
9,bj01,36,46,0,36,54,2,0,8,2,0,40,10,50
18,Loos,9,0,1,58,0,1,49,0,0,49,0,0,49
17,kela,5,4,1,18,11,1,13,7,0,13,35,0,48
28,ReyN,220,18,0,245,22,0,25,4,0,25,20,0,45
16,bj20,20,4,0,25,11,1,5,7,1,5,35,5,45
19,Loos shadow,12,0,0,49,0,1,37,0,1,37,0,5,42
2,tank008,0,4,5,2,6,8,2,2,3,2,10,15,27
42,Frickey,130,0,0,156,0,0,26,0,0,26,0,0,26
30,CHOCO TWIST,298,9,0,312,11,0,14,2,0,14,10,0,24
46,bj02,30,0,0,54,0,0,24,0,0,24,0,0,24
14,CHOCO1,303,23,1,313,25,1,10,2,0,10,10,0,20
4,RaGnar,0,1,2,0,1,6,0,0,4,0,0,20,20
29,Lord Greg,366,12,0,379,13,0,13,1,0,13,5,0,18
26,Laxuss Redwyne,292,58,0,305,59,0,13,1,0,13,5,0,18
6,malphite,12,1,4,29,1,4,17,0,0,17,0,0,17
34,Hyperrion,0,0,0,0,3,0,0,3,0,0,15,0,15
3,Lady Lioness,0,1,4,0,1,7,0,0,3,0,0,15,15
8,Orkam,4,0,2,13,0,3,9,0,1,9,0,5,14
43,Queen Jerri,104,0,0,118,0,0,14,0,0,14,0,0,14
50,gibbs,3,0,0,15,0,0,12,0,0,12,0,0,12
12,ThaNOs,0,0,0,0,0,2,0,0,2,0,0,10,10
49,Oma2015,16,0,0,26,0,0,10,0,0,10,0,0,10
45,kela2,66,0,0,76,0,0,10,0,0,10,0,0,10
37,Dazzerrie,0,0,0,0,2,0,0,2,0,0,10,0,10
25,Wolffsson,849,79,0,859,79,0,10,0,0,10,0,0,10
20,Chaos2018,14,0,1,23,0,1,9,0,0,9,0,0,9
38,Perun,0,0,0,2,1,0,2,1,0,2,5,0,7
51,bjs,2,0,0,7,0,0,5,0,0,5,0,0,5
21,tank007,0,0,0,0,0,1,0,0,1,0,0,5,5
53,KLs police,0,0,0,1,0,0,1,0,0,1,0,0,1
56,Aureserve,0,0,0,0,0,0,0,0,0,0,0,0,0
55,RaFiki,0,0,0,0,0,0,0,0,0,0,0,0,0
58,SqurCzyByk,0,0,0,0,0,0,0,0,0,0,0,0,0
57,goofballs,0,0,0,0,0,0,0,0,0,0,0,0,0
59,jerris Il Q,0,0,0,0,0,0,0,0,0,0,0,0,0
60,TortureAngel,0,0,0,0,0,0,0,0,0,0,0,0,0
61,brokenjade04,0,0,0,0,0,0,0,0,0,0,0,0,0
62,LagerTha,0,0,0,0,0,0,0,0,0,0,0,0,0
63,HAWKEYE,0,0,0,0,0,0,0,0,0,0,0,0,0
54,kela3,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Rum runner,27,6,0,27,6,0,0,0,0,0,0,0,0
52,Wolvesbane,6,0,0,6,0,0,0,0,0,0,0,0,0
48,Wolffssonson,47,0,0,47,0,0,0,0,0,0,0,0,0
47,Borutha,52,0,0,52,0,0,0,0,0,0,0,0,0
40,not tanky,0,1,0,0,1,0,0,0,0,0,0,0,0
36,lil tanky,0,2,0,0,2,0,0,0,0,0,0,0,0
35,Drunkard,66,2,0,66,2,0,0,0,0,0,0,0,0
33,Little Tudor,569,5,0,569,5,0,0,0,0,0,0,0,0
23,Lord Tudor,800,152,0,800,152,0,0,0,0,0,0,0,0
64,Ekla 5,0,0,0,0,0,0,0,0,0,0,0,0,0
41,DagNab It,0,2,0,0,1,0,0,-1,0,0,-5,0,-5
39,Lil Doom,0,10,2,0,1,0,0,-9,-2,0,-45,-10,-55
