,Players,Prev4's,Prev5's,Prev6's,Cur4's,Cur5's,Cur6's,Inc4's,Inc5's,Inc6's,4@1point,5@5point,6@5point,total
24,FLuffyBunny,0,0,0,0,88,0,0,88,0,0,440,0,440
1,Brokenjades,0,168,29,0,217,34,0,49,5,0,245,25,270
0,alek,13,67,43,15,78,48,2,11,5,2,55,25,82
30,Lil Doom,1,7,0,1,18,0,0,11,0,0,55,0,55
8,Sturmcrow,440,94,3,454,99,3,14,5,0,14,25,0,39
39,Oma2015,0,0,0,33,1,0,33,1,0,33,5,0,38
18,Loos shadow,56,0,1,65,3,1,9,3,0,9,15,0,24
29,Hyperrion,0,16,0,0,20,0,0,4,0,0,20,0,20
10,bj01,36,54,2,36,58,2,0,4,0,0,20,0,20
11,Lykanos,151,21,2,168,21,2,17,0,0,17,0,0,17
12,Nyctimus,151,21,2,168,21,2,17,0,0,17,0,0,17
44,bj02,64,0,0,80,0,0,16,0,0,16,0,0,16
41,shiny,106,0,0,121,0,0,15,0,0,15,0,0,15
47,bjs,10,0,0,23,0,0,13,0,0,13,0,0,13
7,LadyMayMay,202,121,3,215,121,3,13,0,0,13,0,0,13
5,ZorO,887,227,5,899,227,5,12,0,0,12,0,0,12
33,LadyLu,84,11,0,96,11,0,12,0,0,12,0,0,12
17,bj20,27,12,1,33,13,1,6,1,0,6,5,0,11
2,tank008,2,6,8,2,6,10,0,0,2,0,0,10,10
13,LadyRooRoo,69,14,2,79,14,2,10,0,0,10,0,0,10
15,Loos,66,0,1,71,0,2,5,0,1,5,0,5,10
22,ReyNema,1297,276,0,1305,276,0,8,0,0,8,0,0,8
14,kela,22,11,2,24,12,2,2,1,0,2,5,0,7
38,not tanky,0,1,0,0,2,0,0,1,0,0,5,0,5
20,bj00,0,1,0,0,1,1,0,0,1,0,0,5,5
36,lil tanky,0,2,0,0,3,0,0,1,0,0,5,0,5
28,ReyN,254,22,0,259,22,0,5,0,0,5,0,0,5
40,Frickey,159,0,0,161,0,0,2,0,0,2,0,0,2
6,malphite,30,1,5,32,1,5,2,0,0,2,0,0,2
43,kela2,78,0,0,80,0,0,2,0,0,2,0,0,2
21,Chaos2018,26,0,1,27,0,1,1,0,0,1,0,0,1
50,TortureAngel,1,0,0,2,0,0,1,0,0,1,0,0,1
31,Lord Greg,380,13,0,381,13,0,1,0,0,1,0,0,1
49,Wolvesbane,6,0,0,6,0,0,0,0,0,0,0,0,0
51,KLs police,1,0,0,1,0,0,0,0,0,0,0,0,0
52,kela3,0,0,0,0,0,0,0,0,0,0,0,0,0
63,ragnaR,0,0,0,0,0,0,0,0,0,0,0,0,0
53,RaFiki,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Aureserve,0,0,0,0,0,0,0,0,0,0,0,0,0
55,SqurCzyByk,0,0,0,0,0,0,0,0,0,0,0,0,0
56,jerris Il Q,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Flowki,0,0,0,0,0,0,0,0,0,0,0,0,0
48,gibbs,15,0,0,15,0,0,0,0,0,0,0,0,0
58,brokenjade04,0,0,0,0,0,0,0,0,0,0,0,0,0
59,LagerTha,0,0,0,0,0,0,0,0,0,0,0,0,0
60,RaGFarm,0,0,0,0,0,0,0,0,0,0,0,0,0
61,RaggyWood,0,0,0,0,0,0,0,0,0,0,0,0,0
57,brokenjade06,0,0,0,0,0,0,0,0,0,0,0,0,0
32,CHOCO TWIST,312,11,0,312,11,0,0,0,0,0,0,0,0
46,Wolffssonson,47,0,0,47,0,0,0,0,0,0,0,0,0
45,Borutha,52,0,0,52,0,0,0,0,0,0,0,0,0
42,Queen Jerri,119,0,0,119,0,0,0,0,0,0,0,0,0
37,Drunkard,66,2,0,66,2,0,0,0,0,0,0,0,0
35,Little Tudor,569,5,0,569,5,0,0,0,0,0,0,0,0
34,Rum runner,27,6,0,27,6,0,0,0,0,0,0,0,0
27,bj03,2,29,0,2,29,0,0,0,0,0,0,0,0
26,Laxuss Redwyne,311,61,0,311,61,0,0,0,0,0,0,0,0
25,Wolffsson,859,79,0,859,79,0,0,0,0,0,0,0,0
23,Lord Tudor,800,152,0,800,152,0,0,0,0,0,0,0,0
19,HAWKEYE,1,3,1,1,3,1,0,0,0,0,0,0,0
16,CHOCO1,313,25,1,313,25,1,0,0,0,0,0,0,0
9,Orkam,13,0,3,13,0,3,0,0,0,0,0,0,0
4,RaGnar,0,1,6,0,1,6,0,0,0,0,0,0,0
3,Lady Lioness,0,1,7,0,1,7,0,0,0,0,0,0,0
64,Ekla 5,0,0,0,0,0,0,0,0,0,0,0,0,0
